parameter,fraction,t,classifcation,trout_class,type,use,water_type,threshold,direction
dissolved_oxygen,dissolved,mg/l,a,trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l, aa,trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l, aa-special,trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l,c,trout_spawning,none,fishing,flow; pond,7,>=
dissolved_oxygen,dissolved,mg/l,b,trout_spawning,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,7,>=
dissolved_oxygen,dissolved,mg/l,a,trout_spawning,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,7,>=
dissolved_oxygen,dissolved,mg/l, aa,trout_spawning,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,7,>=
dissolved_oxygen,dissolved,mg/l, aa-special,trout_spawning,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,7,>=
dissolved_oxygen,dissolved,mg/l,a-special,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,6,>=
dissolved_oxygen,dissolved,mg/l,d,none,none,fishing,flow; pond,3,>=
dissolved_oxygen,dissolved,mg/l,c,non_trout,none,fishing,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l,c,non_trout,none,fishing,flow; pond,4,>=
dissolved_oxygen,dissolved,mg/l,b,non_trout,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l,b,non_trout,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,4,>=
dissolved_oxygen,dissolved,mg/l,a,non_trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l, aa,non_trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l, aa-special,non_trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,5,>=
dissolved_oxygen,dissolved,mg/l,a,non_trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,4,>=
dissolved_oxygen,dissolved,mg/l, aa,non_trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,4,>=
dissolved_oxygen,dissolved,mg/l, aa-special,non_trout,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,4,>=
total_dissolved_solids,dissolved,mg/l,c,all,none,fishing,flow; pond,500,<=
total_dissolved_solids,dissolved,mg/l,b,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,500,<=
