parameter,fraction,units,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,type,use,water_type,standard_type,narrative,wqs_threshold,wqs_threshold_formula,wqs_threshold_x_column,wqs_threshold_y_column,statistic,min_n,block,direction,threshold,t,summarize_rows,summarize_rows_operator,classification,calculation
arsenic,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,340 ug/L,none,,none,none,none,1,single,<=,340,ug/l,FALSE,,c,
arsenic,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,340 ug/L,none,,none,none,none,1,single,<=,340,ug/l,FALSE,,b,
arsenic,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,340 ug/L,none,,none,none,none,1,single,<=,340,ug/l,FALSE,,a,
arsenic,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,340 ug/L,none,,none,none,none,1,single,<=,340,ug/l,FALSE,,a-special,
arsenic,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,340 ug/L,none,,none,none,none,1,single,<=,340,ug/l,FALSE,,aa,
arsenic,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,340 ug/L,none,,none,none,none,1,single,<=,340,ug/l,FALSE,,aa-special,
arsenic,dissolved,ug/l,sc; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,63 ug/L,none,,none,none,none,2,single,<=,63,ug/l,FALSE,,sc,
arsenic,dissolved,ug/l,sc; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,63 ug/L,none,,none,none,none,2,single,<=,63,ug/l,FALSE,,sb,
arsenic,dissolved,ug/l,sc; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,63 ug/L,none,,none,none,none,2,single,<=,63,ug/l,FALSE,,sa,
arsenic,dissolved,ug/l,sd,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,120 ug/L,none,,none,none,none,3,single,<=,120,ug/l,FALSE,,sd,
