,Characteristic.Name,SAMPLE_DATE,Depth,Result.Value,Result.Unit,SITE_PWL_ID,SITE_HISTORY_ID
98613,TURBIDITY,8/12/2019,9.078,4.06,FNU,1306-0037,sturgeon_pool
98614,TURBIDITY,9/3/2019,4.261,1.43,FNU,1306-0037,sturgeon_pool
98615,TURBIDITY,9/3/2019,7.946,1.72,FNU,1306-0037,sturgeon_pool
98616,TURBIDITY,8/12/2019,6.203,3.09,FNU,1306-0037,sturgeon_pool
98617,TURBIDITY,8/12/2019,-0.031,1.95,FNU,1306-0037,sturgeon_pool
98618,TURBIDITY,7/22/2019,7.262,2.71,FNU,1306-0037,sturgeon_pool
98619,TURBIDITY,7/22/2019,14.3,2.59,FNU,1306-0037,sturgeon_pool
98620,TURBIDITY,8/12/2019,12.945,3.73,FNU,1306-0037,sturgeon_pool
98621,TURBIDITY,8/12/2019,9.055,3.95,FNU,1306-0037,sturgeon_pool
98622,TURBIDITY,8/12/2019,1.473,2.3,FNU,1306-0037,sturgeon_pool
98623,TURBIDITY,8/12/2019,10.991,4.09,FNU,1306-0037,sturgeon_pool
98624,TURBIDITY,9/3/2019,11.387,3.26,FNU,1306-0037,sturgeon_pool
98625,TURBIDITY,8/12/2019,12.942,3.88,FNU,1306-0037,sturgeon_pool
98626,TURBIDITY,7/22/2019,4.501,3.97,FNU,1306-0037,sturgeon_pool
98627,TURBIDITY,8/12/2019,11.01,4.09,FNU,1306-0037,sturgeon_pool
98628,TURBIDITY,9/3/2019,9.813,2.73,FNU,1306-0037,sturgeon_pool
98629,TURBIDITY,7/22/2019,1.053,5.13,FNU,1306-0037,sturgeon_pool
98630,TURBIDITY,7/22/2019,11.864,5.53,FNU,1306-0037,sturgeon_pool
98631,TURBIDITY,8/12/2019,11.027,3.98,FNU,1306-0037,sturgeon_pool
98632,TURBIDITY,7/22/2019,8.155,2.8,FNU,1306-0037,sturgeon_pool
98308,TEMPERATURE,8/13/2013,6,22.6,deg C,1306-0037,sturgeon_pool
98309,TEMPERATURE,8/13/2013,5,22.6,deg C,1306-0037,sturgeon_pool
98310,TEMPERATURE,8/13/2013,2,22.7,deg C,1306-0037,sturgeon_pool
98311,TEMPERATURE,9/11/2013,17.04,21.28,deg C,1306-0037,sturgeon_pool
98312,TEMPERATURE,9/11/2013,4.05,22.28,deg C,1306-0037,sturgeon_pool
98313,TEMPERATURE,9/11/2013,6.01,21.84,deg C,1306-0037,sturgeon_pool
98314,TEMPERATURE,9/11/2013,14.03,21.34,deg C,1306-0037,sturgeon_pool
98315,TEMPERATURE,9/11/2013,12,21.43,deg C,1306-0037,sturgeon_pool
98316,TEMPERATURE,9/11/2013,10.03,21.51,deg C,1306-0037,sturgeon_pool
98317,TEMPERATURE,8/12/2019,13.788,18.192,deg C,1306-0037,sturgeon_pool
98318,TEMPERATURE,7/22/2019,12.756,19.386,deg C,1306-0037,sturgeon_pool
98319,TEMPERATURE,7/22/2019,13.633,17.829,deg C,1306-0037,sturgeon_pool
98320,TEMPERATURE,7/22/2019,12.77,19.522,deg C,1306-0037,sturgeon_pool
98321,TEMPERATURE,7/22/2019,9.052,27.636,deg C,1306-0037,sturgeon_pool
98322,TEMPERATURE,7/22/2019,10.075,27.357,deg C,1306-0037,sturgeon_pool
98323,TEMPERATURE,8/12/2019,12.053,23.322,deg C,1306-0037,sturgeon_pool
98324,TEMPERATURE,8/12/2019,13.838,17.584,deg C,1306-0037,sturgeon_pool
98325,TEMPERATURE,8/12/2019,9.06,24.616,deg C,1306-0037,sturgeon_pool
98326,TEMPERATURE,8/12/2019,1.793,25.354,deg C,1306-0037,sturgeon_pool
98327,TEMPERATURE,8/12/2019,4.026,25.201,deg C,1306-0037,sturgeon_pool
98328,TEMPERATURE,8/12/2019,12.11,23.196,deg C,1306-0037,sturgeon_pool
98329,TEMPERATURE,8/12/2019,12.945,20.331,deg C,1306-0037,sturgeon_pool
98330,TEMPERATURE,8/12/2019,10.959,24.386,deg C,1306-0037,sturgeon_pool
98331,TEMPERATURE,8/12/2019,13.647,19.087,deg C,1306-0037,sturgeon_pool
98332,TEMPERATURE,8/12/2019,1.856,25.288,deg C,1306-0037,sturgeon_pool
98333,TEMPERATURE,8/12/2019,-0.034,25.807,deg C,1306-0037,sturgeon_pool
98334,TEMPERATURE,8/12/2019,5.134,25.084,deg C,1306-0037,sturgeon_pool
98335,TEMPERATURE,9/3/2019,0.736,25.026,deg C,1306-0037,sturgeon_pool
98336,TEMPERATURE,9/7/2012,15.24,14.38,deg C,1306-0037,sturgeon_pool
98337,TEMPERATURE,9/7/2012,16.37,11.89,deg C,1306-0037,sturgeon_pool
98338,TEMPERATURE,9/7/2012,12.31,23.7,deg C,1306-0037,sturgeon_pool
98339,TEMPERATURE,9/7/2012,8.18,24.61,deg C,1306-0037,sturgeon_pool
98340,TEMPERATURE,9/7/2012,3.35,24.9,deg C,1306-0037,sturgeon_pool
98341,TEMPERATURE,9/7/2012,9.09,24.55,deg C,1306-0037,sturgeon_pool
98342,TEMPERATURE,9/7/2012,0.99,25.16,deg C,1306-0037,sturgeon_pool
98343,TEMPERATURE,9/7/2012,6.08,24.74,deg C,1306-0037,sturgeon_pool
98344,TEMPERATURE,9/7/2012,11.17,24.21,deg C,1306-0037,sturgeon_pool
98345,TEMPERATURE,9/7/2012,1.89,24.93,deg C,1306-0037,sturgeon_pool
98346,TEMPERATURE,9/7/2012,0.23,25.27,deg C,1306-0037,sturgeon_pool
98347,TEMPERATURE,9/7/2012,5.12,24.76,deg C,1306-0037,sturgeon_pool
98348,TEMPERATURE,9/7/2012,13.41,23.23,deg C,1306-0037,sturgeon_pool
98349,TEMPERATURE,9/7/2012,7.1,24.66,deg C,1306-0037,sturgeon_pool
98350,TEMPERATURE,9/7/2012,10.23,24.28,deg C,1306-0037,sturgeon_pool
98351,TEMPERATURE,7/22/2019,8.155,27.696,deg C,1306-0037,sturgeon_pool
98352,TEMPERATURE,7/22/2019,9.047,27.566,deg C,1306-0037,sturgeon_pool
98353,TEMPERATURE,7/22/2019,14.335,15.951,deg C,1306-0037,sturgeon_pool
98354,TEMPERATURE,7/22/2019,12.764,19.489,deg C,1306-0037,sturgeon_pool
98355,TEMPERATURE,7/22/2019,12.779,19.742,deg C,1306-0037,sturgeon_pool
98356,TEMPERATURE,7/22/2019,9.05,27.532,deg C,1306-0037,sturgeon_pool
98357,TEMPERATURE,7/22/2019,10.05,27.52,deg C,1306-0037,sturgeon_pool
98358,TEMPERATURE,8/12/2019,12.148,23.551,deg C,1306-0037,sturgeon_pool
98359,TEMPERATURE,8/12/2019,12.089,23.271,deg C,1306-0037,sturgeon_pool
98360,TEMPERATURE,8/12/2019,11.01,24.143,deg C,1306-0037,sturgeon_pool
98361,TEMPERATURE,8/12/2019,10.169,24.393,deg C,1306-0037,sturgeon_pool
98362,TEMPERATURE,8/12/2019,-0.023,25.802,deg C,1306-0037,sturgeon_pool
98363,TEMPERATURE,8/12/2019,2.857,25.27,deg C,1306-0037,sturgeon_pool
98364,TEMPERATURE,8/12/2019,11.022,24.13,deg C,1306-0037,sturgeon_pool
98365,TEMPERATURE,8/12/2019,5.09,25.18,deg C,1306-0037,sturgeon_pool
98366,TEMPERATURE,9/3/2019,13.671,18.771,deg C,1306-0037,sturgeon_pool
98367,TEMPERATURE,6/18/2013,14.54,17.66,deg C,1306-0037,sturgeon_pool
98368,TEMPERATURE,6/18/2013,17.39,17.52,deg C,1306-0037,sturgeon_pool
98369,TEMPERATURE,6/18/2013,12.5,17.73,deg C,1306-0037,sturgeon_pool
98370,TEMPERATURE,6/18/2013,0.28,20.32,deg C,1306-0037,sturgeon_pool
98371,TEMPERATURE,6/18/2013,11.4,17.81,deg C,1306-0037,sturgeon_pool
98372,TEMPERATURE,6/18/2013,16.38,17.53,deg C,1306-0037,sturgeon_pool
98373,TEMPERATURE,6/18/2013,15.48,17.56,deg C,1306-0037,sturgeon_pool
98374,TEMPERATURE,6/18/2013,3.99,19.87,deg C,1306-0037,sturgeon_pool
98375,TEMPERATURE,6/18/2013,1.13,20.08,deg C,1306-0037,sturgeon_pool
98376,TEMPERATURE,6/18/2013,13.35,17.71,deg C,1306-0037,sturgeon_pool
98377,TEMPERATURE,6/18/2013,0.37,20.31,deg C,1306-0037,sturgeon_pool
98378,TEMPERATURE,6/18/2013,18.59,17.42,deg C,1306-0037,sturgeon_pool
98379,TEMPERATURE,6/18/2013,3,19.96,deg C,1306-0037,sturgeon_pool
98380,TEMPERATURE,6/18/2013,10.77,18.04,deg C,1306-0037,sturgeon_pool
98381,TEMPERATURE,6/18/2013,11.38,17.83,deg C,1306-0037,sturgeon_pool
98382,TEMPERATURE,6/18/2013,2.01,20.03,deg C,1306-0037,sturgeon_pool
98383,TEMPERATURE,6/18/2013,4.96,19.86,deg C,1306-0037,sturgeon_pool
98384,TEMPERATURE,6/18/2013,2,20.04,deg C,1306-0037,sturgeon_pool
98385,TEMPERATURE,6/18/2013,8.12,19.68,deg C,1306-0037,sturgeon_pool
98386,TEMPERATURE,7/16/2013,20,18.98,deg C,1306-0037,sturgeon_pool
98387,TEMPERATURE,7/16/2013,18.97,20.63,deg C,1306-0037,sturgeon_pool
