SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_ID,Date,SEIH_YSI_METER_ID,PARAMETER_NAME,PCODE,RESULT,unit,QLFR_NOTE,VALIDATOR_QUAL,VALIDATOR_QUAL_REASON,VALIDATION_DATE
76,01-BSIS-2.0_20150805,01-BSIS-2.0,8/5/2015,,PH,U00400,8.2,std units,,,,
77,01-BSIS-8.6_20100902,01-BSIS-8.6,9/2/2010,,TEMPERATURE,U00010,21.5,deg C,,,,
78,01-BSIS-8.6_20100902,01-BSIS-8.6,9/2/2010,,CONDUCTANCE,U00094,424,uS/cm,,,,
79,01-BSIS-8.6_20100902,01-BSIS-8.6,9/2/2010,,DISSOLVED_OXYGEN,U00300,7.9,mg/L,,,,
80,01-BSIS-8.6_20100902,01-BSIS-8.6,9/2/2010,,PH,U00400,7.7,std units,,,,
81,01-BSIS-8.6_20100902,01-BSIS-8.6,9/2/2010,,PCT_SATURATION,U00301,89,%,,,,
82,01-BSIS-8.6_20110705,01-BSIS-8.6,7/5/2011,,TEMPERATURE,U00010,26.4,deg C,,,,
83,01-BSIS-8.6_20110705,01-BSIS-8.6,7/5/2011,,CONDUCTANCE,U00094,332,uS/cm,,,,
84,01-BSIS-8.6_20110705,01-BSIS-8.6,7/5/2011,,DISSOLVED_OXYGEN,U00300,11.6,mg/L,,,,
85,01-BSIS-8.6_20110705,01-BSIS-8.6,7/5/2011,,PH,U00400,9.1,std units,,,,
86,01-BSIS-8.6_20110705,01-BSIS-8.6,7/5/2011,,PCT_SATURATION,U00301,143.8,%,,,,
87,01-BSIS-8.6_20110705,01-BSIS-8.6,7/5/2011,,SALINITY,U00480,0.16,ppt,,,,
88,01-BSIS-11.4_20050913,01-BSIS-11.4,9/13/2005,,TEMPERATURE,U00010,22.7,deg C,,,,
89,01-BSIS-11.4_20050913,01-BSIS-11.4,9/13/2005,,CONDUCTANCE,U00094,434,uS/cm,,,,
90,01-BSIS-11.4_20050913,01-BSIS-11.4,9/13/2005,,DISSOLVED_OXYGEN,U00300,4.3,mg/L,,,,
91,01-BSIS-11.4_20050913,01-BSIS-11.4,9/13/2005,,PH,U00400,6.8,std units,,,,
92,01-BSIS-11.4_20050913,01-BSIS-11.4,9/13/2005,,SALINITY,U00480,0.2,ppt,,,,
93,01-BUFC-2.2_19820622,01-BUFC-2.2,6/22/1982,,TEMPERATURE,U00010,21.5,deg C,,,,
94,01-BUFC-2.2_19820622,01-BUFC-2.2,6/22/1982,,CONDUCTANCE,U00094,350,uS/cm,,,,
95,01-BUFC-2.2_19820622,01-BUFC-2.2,6/22/1982,,DISSOLVED_OXYGEN,U00300,8.9,mg/L,,,,
96,01-BUFC-2.2_19820622,01-BUFC-2.2,6/22/1982,,PH,U00400,8.4,std units,,,,
97,01-BUFC-2.2_19820727,01-BUFC-2.2,7/27/1982,,TEMPERATURE,U00010,24.5,deg C,,,,
98,01-BUFC-2.2_19820727,01-BUFC-2.2,7/27/1982,,CONDUCTANCE,U00094,310,uS/cm,,,,
99,01-BUFC-2.2_19820727,01-BUFC-2.2,7/27/1982,,DISSOLVED_OXYGEN,U00300,7.4,mg/L,,,,
100,01-BUFC-2.2_19820727,01-BUFC-2.2,7/27/1982,,PH,U00400,8.5,std units,,,,
101,01-BUFC-2.2_19820901,01-BUFC-2.2,9/1/1982,,TEMPERATURE,U00010,21,deg C,,,,
102,01-BUFC-2.2_19820901,01-BUFC-2.2,9/1/1982,,CONDUCTANCE,U00094,370,uS/cm,,,,
103,01-BUFC-2.2_19820901,01-BUFC-2.2,9/1/1982,,DISSOLVED_OXYGEN,U00300,8.6,mg/L,,,,
104,01-BUFC-2.2_19820901,01-BUFC-2.2,9/1/1982,,PH,U00400,8.6,std units,,,,
105,01-BUFC-2.2_19821007,01-BUFC-2.2,10/7/1982,,TEMPERATURE,U00010,15,deg C,,,,
106,01-BUFC-2.2_19821007,01-BUFC-2.2,10/7/1982,,CONDUCTANCE,U00094,340,uS/cm,,,,
107,01-BUFC-2.2_19821007,01-BUFC-2.2,10/7/1982,,DISSOLVED_OXYGEN,U00300,8.9,mg/L,,,,
108,01-BUFC-2.2_19821007,01-BUFC-2.2,10/7/1982,,PH,U00400,7.9,std units,,,,
109,01-BUFC-2.2_19880629,01-BUFC-2.2,6/29/1988,,TEMPERATURE,U00010,25,deg C,,,,
110,01-BUFC-2.2_19880629,01-BUFC-2.2,6/29/1988,,CONDUCTANCE,U00094,320,uS/cm,,,,
111,01-BUFC-2.2_19880629,01-BUFC-2.2,6/29/1988,,DISSOLVED_OXYGEN,U00300,8.7,mg/L,,,,
